Vegetable        Depth to plant seed    Plant Spacing    Row Spacing
 
 Artichoke        1/4 to 1/2             48"              72"                 

 Arugula            1/2 to 1 inch

 Asparagus

 Basil

 Beans                 1-2 inch           6-8 inch         18-24 inch             

 Beets                 1/2inch             3.4 inch         12"


 Bokchoy


 Broccoli               1/2 inch           18 inch          24-30 inch

 Brussel Sprouts        1/2 inch                             24 inch

 Cabbage                1/4 to 1/2 inch      1-2'            3'

 Carrots                1/2 inch             2-4 inch        18-24 inch

 Cauliflower            1/2 inch             18-24 inch      24-36 inch

 Chard                  1/4inch               18 inch        18-24 inch

 Cilantro

 Corn                   1-2 inch              4 inch          30 inch

 Cucumber                1 inch               36 to 48        36 to 48

Eggplant                1-2 inch              12-24 inch      2'

Fava Beans              

Garlic 

Kale                     1/2 inch               12-18 inch      24 inch

Leek                     1/4 inch              4-6inch          8-16 inch

Lettuce                  1/4 inch              9-12 inch        12-15 inch

Melon

Mustard                  1/2 inch               12-18           12-18inch

Okra                     1/2inch                18-24 inch       36inch

Onion                    1/2 inch               4-6inch         18-24inch 

Parsley

Peas                     1"                       6"              2'

Peppers                  1/4"                    12-18"           18-24"

Potatoes

Pumpkin                 1"                        4-8 feet         4-8 feet

Raddish                 1"                        2"               6-8 inch

Spinach                 1/2 inch                2-4 inch           12inch

Summer Squash           1"                       36-48"            36-48inch

Winter Squash            1"                       36-48"            36-48inch

sweetPotatoes
 
 Tomatoes              1/2 inch                  18-24 inch        24-36inch

 Turnip                1/2"                     4-6"               12-15"

 Zucchini               1"                     36-48"               36-48"
